"","main","breslow","clark","stage","age"
"CLDN16",0.0803,0,0,0,0
"MEOX1",0.0021,0,0,0,0
"LOC116242",4e-04,0,0,0,0
"TMEM159",7e-04,0,0,0,0
"ELOVL1",2e-04,0,0,0,0
"DNASE1L1",5e-04,0,0,0,0
"TMEM102",0.0018,0,0,0,0
"RAB5C",1e-04,0,0,0,0
"LRP10",1e-04,0,0,0,0
"LOC115999",1e-04,0,0,0,0
"PITPNA",2e-04,0,0,0,0
"PLBD2",2e-04,0,0,0,0
"IMPA2",3e-04,0,0,0,0
"HECTD3",2e-04,0,0,0,0
"CHP1",1e-04,0,0,0,0
"LOC115175",3e-04,0,0,0,0
"LOC399700",2e-04,0,0,0,0
"FAM134A",1e-04,0,0,0,0
"ESYT1",1e-04,0,0,0,0
"PLEKHM1",5e-04,0,0,0,0
"RPS6KA4",2e-04,0,0,0,0
"RETSAT",1e-04,0,0,0,0
"FLJ22717",2e-04,0,0,0,0
"FRAXF",7e-04,0,0,0,0
"ARMC9",3e-04,0,0,0,0
"SNX12",0.0016,0,0,0,0
"BTD",7e-04,0,0,0,0
"GCC1",5e-04,0,0,0,0
"OPH",1e-04,0,0,0,0
"TPRG1L",3e-04,0,0,0,0
"IFFO2",2e-04,0,0,0,0
"STX3",2e-04,0,0,0,0
"DIRC2",0.0014,0,0,0,0
"PIP4K2C",3e-04,0,0,0,0
"KIAA1522",2e-04,0,0,0,0
"CYBASC3",1e-04,0,0,0,0
"ATP8B3",0.0027,0,0,0,0
"MINK1",2e-04,0,0,0,0
"SEC22C",8e-04,0,0,0,0
"PLEKHO2",1e-04,0,0,0,0
"MVP",1e-04,0,0,0,0
"RALBP1",3e-04,0,0,0,0
"ZDHHC12",4e-04,0,0,0,0
"CELSR2",1e-04,0,0,0,0
"CYB561D1",0.0011,0,0,0,0
"LOC148918",0.0048,0,0,0,0
"RELN",6e-04,0,0,0,0
"NEP",1e-04,0,0,0,0
"COPS7A",2e-04,0,0,0,0
"ANKRD28",1e-04,0,0,0,0
"LPAR4",0.0148,0,0,0,0
"MIMT1",0.0935,0,0,0,0
"ZP4",0.0296,0,0,0,0
"STPG1",8e-04,0,0,0,0
"MMP10",0.0027,0,0,0,0
